Здравствуйте! ,Bonjour! ,[Бонжур!] 
- зубная паста ,- le dentifrice ,[- лё дантифрис] 
- зубная щетка ,- la brosse à dents ,[- ля брос а дан] 
- электробритва ,- le rasoir électrique ,[- лё разуар электрик] 
- одноразовая бритва ,- le rasoir jetable ,[- лё разуар жётабль] 
- фен для волос ,- le sèche-cheveux ,[- лё сэш швё] 
- дезодорант ,- le déodorant ,[- лё дэодоран] 
- маникюрные ножницы ,- les ciseaux à ongles ,[- ле сизо а онгль] 
- пульт от телевизора ,- la télécommande ,[- ля тэлекоманд] 
- замок ,- la serrure ,[- ля сэрюр] 
- вентилятор ,- le ventilateur ,[- лё вантилятёр] 
- лампочка ,- l’ampoule ,[- лямпуль] 
- зеркало ,- le miroir ,[- лё мируар] 
- одеяло ,- la couverture ,[- ля кувэртюр] 
- покрывало ,- le dessus-de-lit ,[- лё дэссю дё ли] 
- подушка ,- l’oreiller ,[- лёрэйе] 
- кран (в ванной) ,- le robinet ,[- лё робинэ] 
- телевизор ,- le téléviseur ,[-лё тэлевизёр] 
- плита ,- la cuisinière (le réchaud/ le fourneau) ,[- ля кюизиньер (лё рэшо/лё фурно)] 
- духовка (печь) ,- le four ,[- лё фур] 
- утюг ,- le fer à repasser ,[- лё фэр а рёпасэ] 
- гладильная доска ,- la planche à repasser ,[- ля плянш а рёпасэ] 
- веник и совок ,- le balai et la pelle ,[- лё балэ э ля пэль] 
- холодильник ,- le frigo/réfrigérateur ,[- лё фриго/рэфрижэратёр] 
- мусорное ведро ,- la poubelle ,[- ля пубэль] 
- стол ,- la table ,[- ля табль] 
- стул ,- la chaise ,[- ля шэз] 
- чайник ,- la bouilloire ,[- ля буйюар] 
- кофеварка (кипятильник с фильтром для,,
,- le percolateur ,[- лё пэрколятёр] 
кофе) ,,
- моющее средство ,- le produit de nettoyage ,[- лё продюи дё нэтуаяж] 
- микроволновая печь ,- le micro-ondes ,[- лё микро онд] 
- стиральный порошок ,- la lessive en poudre ,[- ля лэсив ан пудр] 
- жидкость для мытья посуды ,- le liquide vaisselle ,[- лё ликид вэсэль] 
- швабра для пола ,- la serpillière ,[- ля сэрпийер] 
- стиральная машина ,- la machine à laver ,[- ля машин а лявэ] 
- кастрюля ,- la casserole ,[- ля касроль] 
- сковорода ,- la poêle ,[- ля пуаль] 
- штопор ,- le tire-bouchon ,[- лё тир бушон] 
,,Французский разговорник 15 
- консервный нож ,- l’ouvre-boîte ,[- лювр буат] 
"- сито, дуршлаг ",- la passoire ,[- ля пасуар] 
"- половник, поварёшка ",- la louche ,[- ля луш] 
- тёрка ,- la râpe ,[- ля рап] 
- миксер ,- le mixeur ,[- лё миксёр] 
- венчик для взбивания ,- le fouet ,[- лё фуэ] 
- миска ,- le grand bol ,[- лё гран боль] 
- разделочная доска ,- la planche à découper ,[- ля плянш а дэкупэ] 
- прихватки ,- les gants de cuisine ,[- ле ган дё куизин] 
- кухонный нож ,- le couteau de cuisine ,[- лё куто дё куизин] 
- мойка (раковина) ,- l’évier ,[- левье] 
,Проблемы в отеле ,
Вы можете мне помочь? ,Pourriez-vous m’aidez? ,[Пурье ву мэдэ?] 
Можно поставить (в номере)...? ,On peut avoir... ? ,[Он пё тавуар...?] 
- дополнительную кровать ,- Le lit supplémentaire ,[- лё ли сюплемантэр] 
- детскую кроватку ,- Le lit d’enfant ,[- лё ли данфан] 
- обогреватель ,- Le convecteur ,[- лё конвэктёр] 
Нам нужна еще одна кровать. ,Nous avons besoin d’un lit supplémentaire. ,[Ну завон бёзуэн дэн ли сюплемантэр.] 
Мой номер слишком шумный. ,Ma chambre est très bruyante. ,[Ма шамбр э трэ брюйант.] 
У вас есть более тихий номер? ,Vous avez une chambre plus tranquille? ,[Ву завэ ун шамбр плю транкиль?] 
,J’aimerais changer de chambre или Je voudrais,[Жэмёрэ шанжэ дё шамбр./Жё вудрэ шанжэ
Я хочу другой номер (Я хочу поменять номер). ,,
,changer de chambre. ,дё шамбр.] 
,On fait trop de bruit dans la chambre au-,[Он фэ тро дё брюи дан ля шамбр одсю/ан
В комнате наверху/внизу сильно шумят. ,,
,dessus/en bas. ,ба.] 
Мы вас переселим. ,Nous allons vous déplacer. ,[Ну залён ву деплясэ.] 
У меня проблема. (Что-то случилось.) ,J’ai un problème. (Il y a un problème). ,[Жэ эн проблем./Илья эн проблем.] 
У меня в номере засорился слив,Le tuyau d'écoulement est bouché (dans le,
,,[Лё тюийо дэкульман э бушэ (дан лё лявабо).] 
(умывальника). ,lavabo). ,
Что-то случилось с кранами. ,Quelque chose s’est passé avec les robinets. ,[Келькё шоз сэ пасэ авэк ле робинэ.] 
Душ не работает. ,La douche ne marche pas. ,[Ля душ нё марш па.] 
В ванной нет света. ,Il n’y a pas de lumière dans la salle de bain. ,[Иль нья па дё люмьер дан ля саль дё бэн. 
Нет горячей воды. ,Il n’y a pas d’eau chaude. ,[Иль нья па до шод.] 
В номере слишком жарко/холодно. ,Il fait trop chaud/froid dans la chambre. ,[Иль фэ тро шо/фруа дан ля шамбр.] 
Кондиционер не работает. ,La climatisation ne marche pas. ,[Ля климатизасьон нё марш па.] 
У меня закончился шампунь и гель для душа. Je n’ai plus de shampooing et de gel douche. ,,[Жё нэ плю дё шампуэн э дё жель душ.] 
Я забыл свой ключ в номере. ,J’ai oublié la clé dans ma chambre. ,[Жэ ублие ля кле дан ма шамбр.] 
У меня дверь не закрывается. ,Ma porte ne se ferme pas. ,[Ма порт нё сё фэрм па.] 
Можно мне дополнительное одеяло? ,Puis-je avoir une couverture supplémentaire? ,[Пюиж авуар юн кувэртюр сюплемантэр?] 
"Принесите, пожалуйста, еще одно одеяло. ","Apportez, s’il vous plaît, encore une couverture. [Апортэ, силь ву пле, анкор эн кувэртюр.]",
Что-то произошло с отоплением. ,Il y a un problème avec le chauffage. ,[Илья эн проблем авэк лё шофаж.] 
Горничная не убралась в моем номере. ,La femme de chambre n’a pas fait ma chambre. [Ля фам дё шамбр на па фэ ма шамбр.],
У меня закончилась туалетная бумага. ,Je n’ai plus de papier hygiénique. ,[Жё нэ плю дё папье ижьеник.] 
,"Merci. Encore une chose, s’il vous plaît. J’ai cassé","[Мэрси. Анкор юн шоз, силь ву пле. Жэ кассэ"
Спасибо. И еще одно. Я сломал замок в сейфе. ,,
,le serrure du coffre-fort. ,лё серрюр дю кофрёфор.] 
У меня в номере... ,Dans ma chambre... ,Дан ма шамбр...] 
- окно не открывается ,- la fenêtre n’ouvre pas ,[- ля фнэтр нувр па] 
- перегорела лампочка ,- l’ampoule a grillé (sauté) ,[- лямпуль а грийе (сотэ)] 
- сломался выключатель ,- l’interrupteur est cassé ,[- лэнтэрюптёр э касэ] 
Я не могу открыть сейф. ,Je ne peux pas ouvrir le coffre. ,[Жё нё пё па уврир лё кофр] 
,,Французский разговорник 16 
Телевизор не работает. ,Le téléviseur ne marche pas. ,[Лё тэлевизёр нё марш па] 
Плохо поворачиваются жалюзи. ,Les lattes du store vénitien tournent mal. ,[Ле лят дю стор вэнисьен турн маль.] 
Нет доступа в Интернет. ,Il n’y a pas d’accès à l’Internet. ,[Иль нья па даксэ а лэнтернет.] 
Нет полотенец. ,Il n’y a pas de serviettes. ,[Иль нья па де сэрвьет.] 
Мне нужно мыло. ,J’ai besoin de savon. ,[Жэ бёзуэн дё савон.] 
Мне нужны подушки. ,J’ai besoin d’oreillers. ,[Жэ бёзуэн дёрэйе.] 
Горничная их принесет. ,La femme de chambre va les apporter. ,[Ля фам дё шамбр ва ле заппортэ.] 
Лифт сломался. ,L’ascenseur est en panne. ,[Лясансёр э тэн пан.] 
Стиральная машина сломалась. ,La machine à laver est en panne. ,[Ля машин а лявэ э тэн пан.] 
Электричество отключилось. ,Il n’y a pas d’électricité. ,[Иль нья па дэлектриситэ.] 
Холодильник не работает. ,Le réfrigérateur ne marche pas. ,[Лё рэфрижэратёр нё марш па.] 
Нет воды. ,Il n’y a pas d’eau. ,[Иль нья па до.] 
,Quelque chose s'est passé au réfrigérateur /à la,[Келькё шоз сэ пассэ о рэфрижэратёр/а ля
Что-то случилось с холодильником/с дверью. ,,
,porte. ,порт.] 
"Мне кажется, что-то случилось с","Je pense, quelque chose s’est passé avec la","[Жё панс, келькё шоз сэ пассэ авэк ля"
кондиционером. ,climatisation. ,климатизасьён. 
Я потерял(а) ключ. ,J’ai perdu la clé. ,[Жэ пэрдю ля кле.] 
Фен не работает. ,Le sèche-cheveux ne marche pas. ,[Лё сэш-швё нё марш па.] 
"Позовите, пожалуйста,",Appeler le plombier/la femme de chamber/le,[Апле лё пломбье/ля фам дё шамбр/лё
водопроводчика/горничную/слесаря. ,"serrurier, s’il vous plaît! ","сэрюрье, силь ву пле.] "
Это можно отремонтировать сегодня? ,Vous pouvez faire les réparations aujourd’hui? [Ву,пувэ фэр ле рэпарасьон ожурдюи?] 
Вы можете ее (его) починить? ,Vous pouvez le/la réparer? ,[Ву пувэ лё/ля рэпарэ?] 
Вы можете сделать это сегодня? ,Vous pouvez faire ça aujourd’hui? ,[Ву пувэ фэр са ожурдюи?] 
,В ресторане. Основные фразы ,
Меню ,La carte ,[Ля карт] 
На заказ (о блюдах) ,à la carte ,[А ля карт] 
Готовые обеды (комплексные) (обычно такой,,
"обед стоит дешевле, чем заказ блюд по",formule menu ,[Формюль мэню] 
отдельности - «а ля карт») ,,
Обед ,le déjeuner ,[Лё дэжёнэ] 
Ужин ,le dîner ,[Лё динэ] 
Завтрак ,le petit-déjeuner ,[Лё пти дэжёнэ] 
Детское меню ,menu enfants ,[Меню анфан] 
Я хотел бы заказать столик. ,Je voudrais réserver une table. ,[Жё вудрэ рэзэрвэ юн табль.] 
Мне хотелось бы сесть... ,Je voudrais m’asseoir... ,[Жё вудрэ масуар...] 
- в углу ,- dans un coin ,[- дан зэн куэн] 
- у окна ,- près de la fenêtre ,[- прэ дё ля фнэтр] 
- на улице ,- dehors ,[- дёор] 
Вы заказывали (столик)? ,Vous avez commandé/réservé? ,[Ву завэ командэ/рэзэрвэ?] 
На чье имя? ,A quel nom? ,[А кель ном?] 
"Пожалуйста, занимайте место! ",Asseyez-vous! ,[Асэйе ву!] 
Мы не заказывали столик. Нам нужен столик Nous n’avons pas réservé. Il nous faut une table,,[Ну навон па рэзэрвэ. Иль ну фо юн табль пур
на двоих. ,pour deux. ,дё.] 
Этот столик свободен? ,Cette table est libre? ,[Сэт табль э либр?] 
Для курящих или некурящих? ,Fumeur ou non- fumeur? ,[Фюмёр у нон фюмёр?] 
"Пожалуйста, для некурящих. ","Je voudrais non- fumeur, s’il vous plaît. ","[Жё вудрэ нон фюмёр, силь ву пле.] "
Где можно помыть руки? ,Où peut-on laver les mains? ,[У пё тон лявэ ле мэн?] 
Что желаете? ,Vous désirez? ,[Ву дэзирэ?] 
,Pour boissons? (Qu’est-ce que vous allez,
Что вы будете пить? ,,[Пур буасон? (Кес кё ву зале буар?)] 
,boire?/Que voulez-vous boire ?) ,
,,Французский разговорник 17 
Кофейник или чашку? ,Une cafetière ou une tasse? ,[Юн кафтьер у юн тас?] 
Что-нибудь еще? ,Autre chose? ,[Отр шоз?] 
"Да, минуточку. ","Oui, une minute. ","[Уи, юн минют.] "
Чашка кофе ,Une tasse de café ,[Юн тас дё кафэ] 
Чашка чая ,Une tasse de thé ,[Юн тас дё тэ] 
Мы хотели бы посмотреть меню. ,"La carte, s’il vous plaît. ","[Ля карт, силь ву пле.] "
Можно нам попросить меню? ,Pouvons-nous demander le menu? ,[Пувон ну дёмандэ лё мэню?] 
У вас есть меню на русском языке? ,Avez-vous la carte en russe? ,[Авэ ву ля карт ан рюс?] 
Что вы нам можете порекомендовать...? ,Qu’est-ce que vous recommandez... ? ,[Кес кё ву рёкомандэ...?] 
- на закуску ,- comme hors-d'œuvre ,[- ком ор дёвр] 
- в качестве горячего блюда ,- comme plat principal ,[- ком пля прэнсипаль] 
Какое у вас фирменное блюдо? ,Qu’avez vous comme spécialité de la maison? ,[Кавэ ву ком спэсьялитэ дё ля мэзон?] 
Что входит в комплексный обед? ,"Le menu du jour, qu’est-ce qu’il comprend? ","[Лё мёню дю жур, кес киль компран?] "
У вас есть блюда для вегетарианцев? ,Avez-vous des plats végétariens? ,[Авэ ву дэ пля вэжэтарьен?] 
У меня аллергия на орехи. ,Je suis allergique aux noix. ,[Жё сюи заллэржик о нуа.] 
Какое сегодня блюдо дня? ,Quel est le plat du jour? ,[Кель э лё пля дю жур?] 
Какие у вас есть блюда национальной кухни? Quel sont les plats de la cuisine nationale? ,,[Кель сон ле пля дё ля кюизин насьональ?] 
У вас есть детское меню? ,Avez-vous le menu enfants? ,[Авэ ву лё мёню анфан?] 
,Combien de temps faut-il attendre le plat,[Комбьен дё тан фо тиль атандр лё пля
Как долго нам придется ждать горячего? ,,
,principal? ,прэнсипаль?] 
Вы уже выбрали? ,Vous avez choisi? ,[Ву завэ шуази?] 
"Извините, мы еще не выбрали. ","Excusez-nous, nous n’avons pas encore choisi. ","[Экскюзэ ну, ну навон па занкор шуази.] "
,Je ne suis pas encore prêt(a) à faire une,
Я еще не готов(а) сделать заказ. ,,[Жё нё сюи па занкор прэ(т) а фэр юн команд.] 
,commande. ,
"Примите, пожалуйста, мой/наш заказ. ","Recevez ma/notre commande, s’il vous plaît. ","[Рёсёвэ ма/нотр команд, силь ву пле.] "
Это блюдо очень острое/сладкое? ,Ce plat est-il très fort/sucré? ,[Сё пля этиль трэ фор/сюкрэ?] 
Я предпочитаю рыбу. ,Je préfère le poisson. ,[Жё прэфэр лё пуасон.] 
"Добрый день! Мне, пожалуйста, кофе с","Bonjour. Je voudrais un café au lait, s’il vous",
,,"[Бонжур. Жё вудрэ эн кафэ о лэ, силь ву пле.] "
молоком. ,plaît. ,
"Мне, пожалуйста, большой черный кофе. ","Je voudrais un grand café, s’il vous plaît. ","[Жё вудрэ эн гран кафэ, силь ву пле.] "
Я возьму то же самое. ,Je vais prendre la même chose. ,[Жё вэ прандр ля мэм шоз.] 
Приятного аппетита! ,Bon appétit! ,[Бон апети!] 
"Это всё, мадам? ","C’est tout, madame? ","[Сэ ту, мадам?] "
У вас есть круассаны? ,Vous avez des croissants? ,[Ву завэ де круасан?] 
"Да, конечно. ","Oui, bien sûr. ","[Уи, бьен сюр.] "
Тогда два круассана. Сколько это будет? ,Alors deux croissants. C’est combien? ,[Алёр дё круассан. Сэ комбьен?] 
Я буду (один) круассан. ,Je prends un croissant. ,[Жё прэн эн круассан.] 
"Мне, пожалуйста, пиво. ","Je voudrais une bière, s’il vous plaît. ","[Жё вудрэ юн бьер, силь ву пле.] "
"Одно пиво/два пива, пожалуйста. ","Une bière/deux bières, s'il vous plaît. ","[Юн бьер/дё бьер, силь ву пле.] "
"Бокал красного/белого вина, пожалуйста. ","Un verre de vin rouge/blanc, s'il vous plaît. ","[Эн вэр дё вэн руж/блян, силь ву пле.] "
"Еще один, пожалуйста. ","Encore un/une autre, s'il vous plaît. ","[Анкор эн/юн отр, силь ву пле.] "
"Принесите мне, пожалуйста, еще один бокал",,
,Puis-je avoir un autre verre de vin? ,[Пюиж авуар эн отр вэр дё вэн?] 
вина. ,,
"Пожалуйста, бутылку. ","Une bouteille, s'il vous plaît. ","[Юн бутэй, силь ву пле.] "
Я заказываю комплексный обед за 20 евро. ,Je prendrai le menu complexe à 20 euros. ,[Жё прандрэ лё мёню комплекс а вэнт ёро.] 
Только один кофе/один чай. ,Un café/un thé seulement. ,[Эн кяфе/эн тэ сёльман.] 
"Это не то, что мы заказывали. ",Ce n'est pas ce que nous avons commandé. ,[Сё нэ па сё кё ну завон командэ.] 
Графинчик вина. ,Un pichet de vin. ,[Эн пишэ дё вэн.] 
"Бутылку красного вина, пожалуйста. ","Une bouteille de vin rouge, s’il vous plaît. ","[Юн бутэй дё вэн руж, силь ву пле.] "
,,Французский разговорник 18 
,,"[Мёсьё/мадам, апортэ, силь ву пле..]. (слова"
"Официант, принесите, пожалуйста... ","Monsieur/madame, apportez, s’il vous plaît... ","«garçon» лучше избегать, это не очень"
,,вежливо!) 
- еще один прибор ,- un couvert de plus / encore un couvert ,[- эн кувэр дё плюс/анкор эн кувэр] 
- салфетки ,- des serviettes ,[- дэ сэрвьет] 
- карту вин ,- la carte des vins ,[- ля карт дэ вэн] 
У меня нет стакана. ,Je n’ai pas de verre. ,[Жё нэ па дё вэр.] 
Всё в порядке? ,Tout est bien? ,[Ту тэ бьен?] 
Вам понравилось (Было вкусно)? ,Ça était bon? ,[Са этэ бон?] 
Хотите что-нибудь еще? ,Autre chose? ,[Отр шоз?] 
Вы закончили? Я могу убирать тарелки? ,Avez-vous fini? Puis-je desservir la table? ,[Авэ ву фини? Пюиж дэссэрвир ля табль?] 
"Спасибо, всё было очень вкусно. ","Merci, tout était bon. ","[Мэрси, ту этэ бон.] "
Было очень вкусно. ,C'était délicieux. ,[Сэтэ делисьё.] 
Еда была великолепна. ,Les plats étaient excellents. ,[Ле пля этэ тэксэлан.] 
Мне это не нравится. ,Ça ne me plaît pas. ,[Са нё мё плэ па.] 
У вас великолепная кухня. ,Votre cuisine est excellente. ,[Вотр кюизин э тэксэлант.] 
Еда... ,Le repas est... ,[Лё рёпа э...] 
- холодная ,- froid ,[- фруа] 
- пересолена ,- trop salé ,[- тро сале] 
Можно заказать что-то другое? ,Puis-je commander autre chose? ,[Пюиж командэ отр шоз?] 
Здесь есть туалет? ,Il y a ici les toilettes? ,[Илья иси ле туалэт?] 
Что вы хотите на десерт? ,Qu’est ce que vous avez comme dessert? ,[Кес кё ву завэ ком дэсэр?] 
"Еда была очень вкусной, спасибо. ","Le repas était très bon, merci. ","[Лё рёпа этэ трэ бон, мэрси.] "
Сколько с меня? ,C’est combien? ,[Сэ комбьен?] 
"Счет, пожалуйста! ","L’addition, s’il vous plaît! ","[Лядисьон, силь ву пле!] "
Сдачи не надо. ,Pas de reste./Gardez la monnaie. ,[Па дё рэст./Гардэ ля монэ.] 
Вы принимаете кредитные карты? ,Vous acceptez les cartes de crédit? ,[Ву заксэптэ ле карт дё креди?] 
Мы принимаем к оплате кредитные карты. ,Vous pouvez payer par carte de crédit. ,[Ву пувэ пэйе пар карт дё крэди.] 
,В ресторане. Приборы. Категории блюд в меню ,
Кофейник ,la cafetière ,[Ля кафтьер] 
Чайник (заварочный) ,la théière ,[Ля тэйер] 
Рюмка ,le verre à pied ,[Лё вэр а пье] 
Стопка ,le petit verre ,[Лё пти вэр] 
Бокал ,le verre à vin ,[Лё вэр а вэн] 
Вилка ,la fourchette ,[Ля фуршэт] 
Салфетка ,la serviette ,[Ля сэрвьет] 
Столовая ложка ,la cuiller à soupe ,[Ля кюийер а суп] 
Тарелка ,l’assiette ,[Лясьет] 
Нож ,le couteau ,[Лё куто] 
Чайная ложка ,la cuiller à café ,[Ля кюийер а кафэ] 
Чашка ,la tasse ,[Ля тас] 
Блюдце ,la soucoupe ,[Ля сукуп] 
Растительное масло ,l’huile ,[Люиль] 
Уксус ,le vinaigre ,[Лё винэгр] 
Зубочистки ,les cure-dents ,[Ле кюр дан] 
Соль ,le sel ,[Лё сэль] 
Перец ,le poivre ,Лё пуавр] 
,,Французский разговорник 19 
Сахар ,le sucre ,[Лё сюкр] 
Холодные закуски ,Les hors-d'œuvre ,[Ле ор дёвр] 
"Первое блюдо, суп ",L’entrée ,[Лянтрэ] 
"Второе блюдо, горячее ",Le plat principal ,[Лё пля прэнсипаль] 
Овощи ,Les légumes ,[Ле легюм] 
Салат ,La salade ,[Ля саляд] 
Десерт ,Le dessert ,[Лё дэсэр] 
Мясо ,La viande ,[Ля вьянд] 
Птица ,La volaille ,[Ля воляй] 
Рыба ,Le poisson ,[Лё пуасон] 
Морепродукты ,Les fruits de mer ,[Ле фрюи дё мэр] 
Суп ,La soupe ,[Ля суп] 
Гарнир ,La garniture ,[Ля гарнитюр] 
Жареный ,Frit ,[Фри] 
Запеченный ,Cuit ,[Кюи] 
Тушеный (на пару) ,à l'étouffée/ à l'étuvée ,[А лэтуфэ/А лэтювэ] 
На пару ,à la vapeur ,[А ля вапёр] 
Приготовленный на гриле ,grillé ,[Грийе] 
"Панированный, в сухарях ",pané ,[Панэ] 
Отварной ,bouilli ,[Буйи] 
Копченый ,fumé ,[Фюмэ] 
Фаршированный ,farci ,[Фарси] 
С кровью (о мясе) ,saignant ,[Сэньян] 
Средней прожарки (о мясе) ,rosé/à point ,[Розэ/А пуан] 
Хорошо прожаренный (о мясе) ,bien cuit ,[Бьен кюи] 
Я хочу стейк хорошей прожарки. ,Je voudrais mon steak bien cuit. ,[Жё вудрэ мон стэк бьен кюи.] 
Я хочу... ,Je voudrais... ,[Жё вудрэ...] 
- свиную отбивную ,- une côte de porc ,[- юн кот дё пор] 
- бифштекс ,- un beefsteak ,[- эн бифстэк] 
- цыпленка ,- du poulet ,[- дю пуле] 
- утку ,- du canard ,[- дю канар] 
- баранину ,- du mouton ,[- дю мутон] 
- рыбу ,- du poisson ,[- дю пуасон] 
- морепродукты ,- des fruit de mer ,[- дю фрюи дё мэр] 
Словарь меню. Названия распространенных продуктов и блюд ,,
,Супы ,
Консоме (Прозрачный мясной бульон) ,Le consommé ,[Лё консомэ] 
Рыбный суп буйабес (распространён на юге,,
,La bouillabaisse ,[Ля буйябэс] 
Франции) ,,
"Рагу, густой суп ",Le ragoût ,[Лё рагу] 
Луковый суп ,La soupe à l’oignon ,[Ля суп а лоньён] 
Суп с зеленым горошком ,Le potage St Germain ,[Лё потаж сен жэрмэн] 
Суп с базиликом ,La soupe au pistou ,[Ля суп о писту] 
Крем-суп из спаржи ,La crème d’asperges ,[Ля крэм даспэрж] 
Овощной суп ,La soupe aux légumes ,[Ля суп о легюм] 
Куриный крем-суп ,La crème de volaille ,[Ля крэм дё воляй] 
,,Французский разговорник 20 
Суп-лапша ,Le potage au vermicelle ,[Лё потаж о вэрмисэль] 
Томатный/луковый/овощной суп ,La soupe aux tomates/à l’oignon/aux légumes [Ля суп о томат/а лоньён/а легюм],
,Мясо. Мясные блюда ,
Баранина ,Le mouton ,[Лё мутон] 
Говядина ,Le bœuf ,[Лё бёф] 
Индейка ,La dinde ,[Ля дэнд] 
Отбивная ,La côtelette ,[Ля котлэт] 
Окорок ,Le jambon ,[Лё жамбон] 
Свинина ,Le porc ,[Лё пор] 
Сосиски ,Les saucisses ,[Ле сосис] 
Фарш ,La viande hachée ,[Ля вьянд аше] 
Цыпленок/курица ,Le poulet ,[Лё пуле] 
Ножка ,Le pilon ,[Лё пилён] 
Грудка ,Le blanc ,[Лё блян] 
Бедро ,La cuisse ,[Ля кюис] 
Крылышко ,L’aile ,[Лэль] 
Жареная индейка ,La dinde rôtie ,[Ля дэнд роти] 
Свиные ребрышки ,Le travers de porc ,[Лё травэр дё пор] 
Жареный цыпленок ,Le poulet frit ,[Лё пуле фри] 
Жареная говядина ,Le rôti de bœuf ,[Лё роти дё бёф] 
Почки в соусе из жгучего перца ,Les rognons à la diable ,[Ле роньон а ля дьябль] 
Лягушачьи лапки ,Les cuisses de grenouille ,[Ле кюис дё грёнуй] 
Петух в вине ,Coq au vin ,[Кок о вэн] 
"Горшок (с мясом), тушёная говядина с",,
,Pot-au-feu ,[Пот о фё] 
овощами ,,
Паштет ,Les rillettes ,[Ле риёет] 
Утиные ножки (утиное конфи) ,Le confit de canard ,[Лё конфи дё канар] 
Рубец ,Les tripes ,[Ле трип] 
,Рыба. Рыбные блюда. Моллюски и морепродукты ,
Кальмар ,Le calamar ,[Лё калямар] 
Камбала ,La sole ,[Ля соль] 
Карп ,La carpe ,[Ля карп] 
Краб ,Le crabe ,[Лё краб] 
Креветки ,Les crevettes , [Ле крёвэт] 
Лосось ,Le saumon ,[Лё сомон] 
Мидии ,Les moules ,[Ле муль] 
Омар ,Le homard ,[Лё омар] 
Улитки ,Les escargots ,[Ле зэскарго] 
Петушки (моллюск) ,Les palourdes ,[Ле палурд] 
Устрицы ,Les huîtres ,[Ле зюитр] 
Букцинум (волнистый рожок) (моллюск) ,Les bulots ,[Лё бюло] 
Морские гребешки (моллюск) ,Les coquilles Saint-Jacques ,[Ле кокий сэн-жак] 
Раки ,Les écreisses ,[Ле зэкрёвис] 
Ракообразные ,Les crustacés ,[Ле крюстасэ] 
Сардина ,La sardine ,[Ля сардин] 
Сельдь ,Le hareng ,[Лё аран] 
"Скумбрия, макрель ",Le maquereau (lisette) ,[Лё макро (лизет)] 
,,Французский разговорник 21 
Треска ,La morue ,[Ля морю] 
Тунец ,Le thon ,[Лё тон] 
Форель ,La truite ,[Ля трюит] 
Меч-рыба ,L'espadon ,[Лэспадон] 
Рыба-сабля ,Le sabre ,[Лё сабр] 
"Тригла, морской петух ",Le grondin ,[Лё грондэн] 
"Тюрбо, или большой ромб (из",,
,Le turbot ,[Лё тюрбо] 
камбалообразных) ,,
Налим ,La lotte ,[Ля лот] 
Морской чёрт ,La lotte de mer (baudroie) ,[Ля лот дё мэр/бодруа] 
Барабулька ,Le rouget ,[Лё ружэ] 
Угорь ,L’anguille ,[Лянгий] 
,Овощи и зелень. Гарниры ,
Картофель ,Les pommes de terre ,[Ле пом дё тэр] 
Картофель-фри/печеный картофель ,Les frites/les pommes de terre cuites ,[Ле фрит/пом дё тэр кюит] 
Картофельное пюре ,La purée de pommes de terre ,[Ля пюрэ дё пом дё тэр] 
Баклажан ,L’aubergine ,[Лёбэржин] 
Капуста ,Le chou ,[Лё шу] 
Краснокочанная капуста ,Le chou rouge ,[Лё шу руж] 
Брокколи ,Le chou brocoli ,[Лё шу броколи] 
Цветная капуста ,Le chou-fleur ,[Лё шуфлёр] 
Брюссельская капуста ,Les choux de Bruxelles ,[Ле шу дё брюсэль] 
Квашеная капуста ,La choucroute ,[Ля шукрут] 
Болгарский перец ,Le poivron [ ,Лё пуаврон] 
Кабачок ,La courge ,[Ля курж] 
Кольраби ,Le chou-rave ,[Лё шурав] 
Лук ,L’oignon ,[Лёньон] 
Морковь ,La carotte ,[Ля кярот] 
Огурец ,Le concombre ,[Лё конкомбр] 
Перец чили ,Le piment ,[Лё пиман] 
Петрушка ,Le persil ,[Лё перси] 
Помидор ,La tomate ,[Ля томат] 
Сельдерей ,Le céleri ,[Лё сэлери] 
Чеснок ,L’ail ,[Ляй] 
Шпинат ,Les épinards (L’épinard) ,[Ле зэпинар (Лепинар)] 
Артишок ,L’artichaut ,[Ляртишо] 
Горох ,Les petits pois ,[Ле пти пуа] 
Зелёный лук ,La ciboule ,[Ля сибуль] 
Имбирь ,Le gingembre ,[Лё жэнжамбр] 
Кукуруза ,Le maïs ,[Лё маис] 
Лук-порей ,Le poireau ,[Лё пуаро] 
Редис ,Le radis ,[Лё ради] 
Репа ,Le navet ,[Лё навэ] 
Салат (листовой) ,La salade verte ,[Ля саляд вэрт] 
Свекла ,La betterave ,[Ля бетрав] 
Сельдерей ,La céleri ,[Лё сэльри] 
Тыква ,La citrouille ,[Ля ситруй] 
,,Французский разговорник 22 
Фасоль ,Les haricots (haricots verts —стручковая) ,[Ле арико (арико вэр)] 
Грибы ,Les champignons ,[Ле шампиньон] 
Паста (макароны) ,Les pâtes ,[Ле пат] 
Рис ,Le riz ,[Лё ри] 
Лапша ,Les nouilles ,[Ле нуй] 
Макароны ,Les macaronis ,[Ле макарони] 
,Десерты. Выпечка и сладости ,
Сырная тарелка ,Le plateau de fromage ,[Лё плято дё фромаж] 
Блины ,Les crêpes ,[Ле крэп] 
Круассан ,Le croissant ,[Лё круасан] 
Гренки (десерт) ,Le pain perdu ,[Лё пэн пердю] 
Мёд ,Le miel ,[Лё мьель] 
Джем ,La confiture ,[Ля конфитюр] 
Мороженое ,La glace ,[Ля гляс] 
Мороженое с фруктами ,La glace aux fruits ,[Ля гляс о фрюи] 
"Пирожное, сладкий пирог ",Le gâteau ,[Лё гато] 
